column,order_digits,node_code,node_depth,effective_order_digits,effective_order_names,branch_digits,feature_order_label,feature_set_label,path_label
1111.1,1111,1,0,,(),,,,
1111.11,1111,11,1,1,"('LME',)",1,LME,LME,LME:1
1111.12,1111,12,1,1,"('LME',)",2,LME,LME,LME:2
1111.111,1111,111,2,11,"('LME', 'LME')",11,LME>LME,LME,LME:1>LME:1
1111.112,1111,112,2,11,"('LME', 'LME')",12,LME>LME,LME,LME:1>LME:2
1111.121,1111,121,2,11,"('LME', 'LME')",21,LME>LME,LME,LME:2>LME:1
1111.122,1111,122,2,11,"('LME', 'LME')",22,LME>LME,LME,LME:2>LME:2
1111.1111,1111,1111,3,111,"('LME', 'LME', 'LME')",111,LME>LME>LME,LME,LME:1>LME:1>LME:1
1111.1112,1111,1112,3,111,"('LME', 'LME', 'LME')",112,LME>LME>LME,LME,LME:1>LME:1>LME:2
1111.1121,1111,1121,3,111,"('LME', 'LME', 'LME')",121,LME>LME>LME,LME,LME:1>LME:2>LME:1
1111.1122,1111,1122,3,111,"('LME', 'LME', 'LME')",122,LME>LME>LME,LME,LME:1>LME:2>LME:2
1111.1211,1111,1211,3,111,"('LME', 'LME', 'LME')",211,LME>LME>LME,LME,LME:2>LME:1>LME:1
1111.1212,1111,1212,3,111,"('LME', 'LME', 'LME')",212,LME>LME>LME,LME,LME:2>LME:1>LME:2
1111.1221,1111,1221,3,111,"('LME', 'LME', 'LME')",221,LME>LME>LME,LME,LME:2>LME:2>LME:1
1111.1222,1111,1222,3,111,"('LME', 'LME', 'LME')",222,LME>LME>LME,LME,LME:2>LME:2>LME:2
1112.11111,1112,11111,4,1112,"('LME', 'LME', 'LME', 'OP')",1111,LME>LME>LME>OP,LME+OP,LME:1>LME:1>LME:1>OP:1
1112.11112,1112,11112,4,1112,"('LME', 'LME', 'LME', 'OP')",1112,LME>LME>LME>OP,LME+OP,LME:1>LME:1>LME:1>OP:2
1112.11121,1112,11121,4,1112,"('LME', 'LME', 'LME', 'OP')",1121,LME>LME>LME>OP,LME+OP,LME:1>LME:1>LME:2>OP:1
1112.11122,1112,11122,4,1112,"('LME', 'LME', 'LME', 'OP')",1122,LME>LME>LME>OP,LME+OP,LME:1>LME:1>LME:2>OP:2
