window,testing_start_date,testing_end_date,characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,node_id,leaf_depth,depth_position,feature
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,5,5,1,hml
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,5,5,2,smb
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,5,5,3,hml
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,5,5,4,smb
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,5,5,5,smb
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,6,5,1,hml
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,6,5,2,smb
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,6,5,3,hml
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,6,5,4,smb
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,6,5,5,smb
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,7,4,1,hml
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,7,4,2,smb
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,7,4,3,hml
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,7,4,4,smb
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,9,4,1,hml
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,9,4,2,smb
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,9,4,3,hml
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,9,4,4,smb
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,13,7,1,hml
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,13,7,2,smb
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,13,7,3,hml
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,13,7,4,smb
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,13,7,5,hml
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,13,7,6,hml
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,13,7,7,hml
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,15,8,1,hml
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,15,8,2,smb
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,15,8,3,hml
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb",mkt,14,5,15,8,4,smb
