characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,feature_order,count,n_windows,avg_leaf_depth,avg_n_stocks
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>hml,52,11,6.0,6.096153846153846
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>hml>smb>smb,42,10,8.0,13.928571428571429
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>smb>hml>hml,42,7,8.0,17.595238095238095
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>smb>hml,40,12,7.0,5.925
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>smb>smb>smb,40,8,8.0,12.2
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>mom>hml>hml,36,7,8.0,18.38888888888889
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>mom>smb>hml,36,6,8.0,12.972222222222221
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>mom>smb>smb,36,6,8.0,17.333333333333332
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>hml>smb>hml,32,9,8.0,11.625
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>smb,31,12,6.0,5.903225806451613
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>hml>hml,29,7,7.0,6.448275862068965
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>mom>smb,29,8,7.0,6.413793103448276
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>mom>hml>smb,28,6,8.0,19.285714285714285
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>smb>mom>hml,28,8,8.0,13.321428571428571
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>smb>smb,28,8,7.0,6.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>smb>smb>mom,28,7,8.0,17.607142857142858
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>mom>smb>mom,26,5,8.0,22.692307692307693
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>mom>hml,25,6,7.0,6.56
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>smb>hml>smb,24,7,8.0,13.791666666666666
"hml,smb,mom","mkt,hml,smb,mom",8,5,mom>mom>mom>mom>mom>hml>mom>hml,22,7,8.0,11.909090909090908
