characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,window_1,window_2,jaccard_feature_order,jaccard_feature_set
"hml,smb,mom","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2009-07-01_to_2012-07-01,0.09027777777777778,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2010-01-01_to_2013-01-01,0.18604651162790697,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2010-07-01_to_2013-07-01,0.10457516339869281,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2011-01-01_to_2014-01-01,0.03896103896103896,0.75
"hml,smb,mom","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2011-07-01_to_2014-07-01,0.05263157894736842,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2012-01-01_to_2015-01-01,0.11805555555555555,0.75
"hml,smb,mom","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2012-07-01_to_2015-07-01,0.11764705882352941,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2013-01-01_to_2016-01-01,0.14492753623188406,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2013-07-01_to_2016-07-01,0.21481481481481482,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2014-01-01_to_2017-01-01,0.0958904109589041,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2014-07-01_to_2017-07-01,0.055900621118012424,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2015-01-01_to_2018-01-01,0.125,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2009-07-01_to_2012-07-01,2010-01-01_to_2013-01-01,0.1259259259259259,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2009-07-01_to_2012-07-01,2010-07-01_to_2013-07-01,0.10526315789473684,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2009-07-01_to_2012-07-01,2011-01-01_to_2014-01-01,0.052980132450331126,0.75
"hml,smb,mom","mkt,hml,smb",14,5,2009-07-01_to_2012-07-01,2011-07-01_to_2014-07-01,0.08904109589041095,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2009-07-01_to_2012-07-01,2012-01-01_to_2015-01-01,0.02564102564102564,0.75
"hml,smb,mom","mkt,hml,smb",14,5,2009-07-01_to_2012-07-01,2012-07-01_to_2015-07-01,0.02027027027027027,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2009-07-01_to_2012-07-01,2013-01-01_to_2016-01-01,0.11347517730496454,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2009-07-01_to_2012-07-01,2013-07-01_to_2016-07-01,0.06535947712418301,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2009-07-01_to_2012-07-01,2014-01-01_to_2017-01-01,0.09655172413793103,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2009-07-01_to_2012-07-01,2014-07-01_to_2017-07-01,0.09740259740259741,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2009-07-01_to_2012-07-01,2015-01-01_to_2018-01-01,0.0625,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2010-01-01_to_2013-01-01,2010-07-01_to_2013-07-01,0.10067114093959731,1.0
"hml,smb,mom","mkt,hml,smb",14,5,2010-01-01_to_2013-01-01,2011-01-01_to_2014-01-01,0.05442176870748299,0.75
