characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,window_1,window_2,jaccard_feature_order,jaccard_feature_set
"hml,smb,mom","mkt,hml,smb,mom",8,5,2009-01-01_to_2012-01-01,2009-07-01_to_2012-07-01,0.2608695652173913,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2009-01-01_to_2012-01-01,2010-01-01_to_2013-01-01,0.3953488372093023,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2009-01-01_to_2012-01-01,2010-07-01_to_2013-07-01,0.21818181818181817,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2009-01-01_to_2012-01-01,2011-01-01_to_2014-01-01,0.09230769230769231,0.75
"hml,smb,mom","mkt,hml,smb,mom",8,5,2009-01-01_to_2012-01-01,2011-07-01_to_2014-07-01,0.14285714285714285,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2009-01-01_to_2012-01-01,2012-01-01_to_2015-01-01,0.35294117647058826,0.75
"hml,smb,mom","mkt,hml,smb,mom",8,5,2009-01-01_to_2012-01-01,2012-07-01_to_2015-07-01,0.3235294117647059,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2009-01-01_to_2012-01-01,2013-01-01_to_2016-01-01,0.5294117647058824,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2009-01-01_to_2012-01-01,2013-07-01_to_2016-07-01,0.5882352941176471,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2009-01-01_to_2012-01-01,2014-01-01_to_2017-01-01,0.3333333333333333,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2009-01-01_to_2012-01-01,2014-07-01_to_2017-07-01,0.16666666666666666,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2009-01-01_to_2012-01-01,2015-01-01_to_2018-01-01,0.5142857142857142,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2009-07-01_to_2012-07-01,2010-01-01_to_2013-01-01,0.29411764705882354,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2009-07-01_to_2012-07-01,2010-07-01_to_2013-07-01,0.2807017543859649,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2009-07-01_to_2012-07-01,2011-01-01_to_2014-01-01,0.11594202898550725,0.75
